timediff_ms,proto,srcIP,srcPort,dstIP,dstPort
2249,6,172.16.133.132,50420,76.13.6.174,80
2257,6,172.16.133.48,60316,96.43.146.22,443
2270,6,172.16.133.78,62209,128.119.195.145,38677
2280,6,172.16.133.73,59940,23.32.176.63,443
2281,6,172.16.133.121,54742,69.9.238.98,56159
2303,6,172.16.133.25,60425,71.252.224.198,44248
2311,6,172.16.133.132,54635,98.139.161.29,80
2312,6,172.16.133.29,59842,173.194.43.54,443
2323,6,172.16.133.67,51312,216.219.115.17,443
2323,6,172.16.133.67,51314,216.219.115.54,443
2326,6,172.16.133.57,59183,216.219.115.183,443
2327,6,172.16.133.132,44325,98.138.19.88,80
2329,6,172.16.133.36,64953,67.217.64.99,443
2336,6,172.16.133.39,64173,74.122.143.12,80
2341,6,172.16.133.26,53037,67.217.64.99,443
2350,6,172.16.133.92,57612,216.219.115.250,443
